leage,team,Gls,No.Pl,no.sh,SoT,PK,FK,Att 3rd.T,Succ.Drib,Att.Drib,Touches,Prog.T,GCA.Drib,ShortAT_Pass,MediumtAT_Pass,LongAT_Pass
Ligue1,Rennes,81,28,548,194,4,14,5860,287,530,25057,1209,6,8030,8886,3332
Ligue1,Saint-Étienne,41,39,434,141,5,23,4662,397,738,22143,970,5,7086,6671,2972
Ligue1,Strasbourg,56,26,470,150,6,10,5487,272,498,22548,1152,5,7060,7296,3259
Ligue1,Troyes,35,35,379,120,6,9,4173,318,586,20705,891,2,6920,6131,2726
Bundesliga,Arminia,26,26,361,109,2,10,3737,284,568,17533,682,1,4741,5157,2711
Bundesliga,Augsburg,39,26,362,117,5,11,3700,262,511,16942,657,2,4450,4935,2827
Bundesliga,Bayern Munich,92,30,668,255,5,12,7287,493,832,27519,1674,9,10393,9518,2675
Bundesliga,Bochum,37,28,409,136,4,17,3831,233,461,17867,717,4,4391,5335,3414
Bundesliga,Dortmund,81,33,442,165,11,20,5243,352,636,24677,1155,12,8996,8170,2454
Bundesliga,Eint Frankfurt,43,27,446,136,1,14,4415,285,544,20914,935,4,6380,6861,2783
Bundesliga,Freiburg,55,26,457,153,5,20,4590,226,420,19357,901,2,5855,5947,2875
Bundesliga,Greuther Fürth,26,29,309,96,5,13,3468,266,536,17830,751,4,5106,5407,2565
Bundesliga,Hertha BSC,35,36,365,119,3,15,3375,281,526,17947,723,1,5523,5105,2478
Bundesliga,Hoffenheim,55,32,452,150,0,13,4981,250,526,21656,1083,5,7101,7189,2758
Bundesliga,Köln,52,26,467,149,1,9,4613,252,509,20745,989,5,5646,7240,3053
Bundesliga,Leverkusen,76,29,453,184,2,11,4286,401,706,22080,1024,13,7325,7257,2580
Bundesliga,M'Gladbach,54,26,489,174,5,14,4165,364,621,22130,1074,4,7592,7234,2401
Bundesliga,Mainz 05,49,28,465,151,4,22,4282,269,506,18968,896,3,5893,5557,2534
Bundesliga,RB Leipzig,72,29,429,169,8,18,5183,347,561,23407,1170,10,8702,7384,2311
Bundesliga,Stuttgart,40,34,449,153,1,10,4430,372,693,21442,966,5,7015,6674,2611
