,,,# Pl,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types, ,url
,,,,,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,
league,season,team,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2021,Bayern Munich,29,34,1030,30.29,815,67,56,55,27,10,168,4.94,133,8,12,8,7,0,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
GER-Bundesliga,2021,Dortmund,26,34,875,25.74,648,61,57,46,47,16,129,3.79,97,7,11,7,5,2,/en/squads/add600ae/2020-2021/Dortmund-Stats
GER-Bundesliga,2021,Eint Frankfurt,25,34,803,23.62,591,80,34,42,41,15,112,3.29,74,11,5,10,11,1,/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats
GER-Bundesliga,2021,Freiburg,24,34,665,19.56,464,73,21,47,44,16,81,2.38,54,8,2,10,6,1,/en/squads/a486e511/2020-2021/Freiburg-Stats
GER-Bundesliga,2021,Hertha BSC,32,34,652,19.18,441,60,47,30,44,30,70,2.06,50,3,3,5,7,2,/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats
GER-Bundesliga,2021,Hoffenheim,30,34,767,22.56,580,62,33,35,42,15,92,2.71,62,6,9,7,7,1,/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats
GER-Bundesliga,2021,Köln,28,34,635,18.68,443,69,33,36,41,13,57,1.68,36,5,4,7,4,1,/en/squads/bc357bf7/2020-2021/Koln-Stats
GER-Bundesliga,2021,Leverkusen,30,34,785,23.09,576,61,59,46,27,16,90,2.65,61,7,10,9,3,0,/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats
GER-Bundesliga,2021,M'Gladbach,23,34,783,23.03,545,77,39,53,46,23,113,3.32,70,9,3,14,13,4,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
GER-Bundesliga,2021,Mainz 05,31,34,635,18.68,434,68,33,31,42,27,68,2,42,6,2,8,6,4,/en/squads/a224b06a/2020-2021/Mainz-05-Stats
GER-Bundesliga,2021,RB Leipzig,25,34,968,28.47,726,67,46,60,55,14,104,3.06,71,4,8,10,8,3,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
GER-Bundesliga,2021,Schalke 04,42,34,530,15.59,336,65,27,39,40,23,44,1.29,29,4,3,2,2,4,/en/squads/c539e393/2020-2021/Schalke-04-Stats
GER-Bundesliga,2021,Stuttgart,29,34,800,23.53,571,72,41,48,44,24,95,2.79,63,8,6,5,9,4,/en/squads/598bc722/2020-2021/Stuttgart-Stats
GER-Bundesliga,2021,Union Berlin,27,34,683,20.09,474,73,25,41,49,21,86,2.53,60,10,2,4,7,3,/en/squads/7a41008f/2020-2021/Union-Berlin-Stats
GER-Bundesliga,2021,Werder Bremen,27,34,618,18.18,442,52,32,34,41,17,61,1.79,43,7,2,3,5,1,/en/squads/62add3bf/2020-2021/Werder-Bremen-Stats
GER-Bundesliga,2021,Wolfsburg,26,34,819,24.09,586,72,44,54,39,24,101,2.97,76,4,6,8,4,3,/en/squads/4eaa11d7/2020-2021/Wolfsburg-Stats
ITA-Serie A,2021,Atalanta,30,38,1112,29.26,855,67,58,61,43,28,158,4.16,123,8,10,9,5,3,/en/squads/922493f3/2020-2021/Atalanta-Stats
ITA-Serie A,2021,Benevento,29,38,697,18.34,483,66,35,51,36,26,68,1.79,43,8,3,5,5,4,/en/squads/4fcb34fd/2020-2021/Benevento-Stats
ITA-Serie A,2021,Bologna,37,38,858,22.58,618,71,47,52,43,27,81,2.13,61,5,1,8,5,1,/en/squads/1d8099f8/2020-2021/Bologna-Stats
ITA-Serie A,2021,Cagliari,32,38,737,19.39,513,72,38,54,35,25,75,1.97,52,4,4,10,5,0,/en/squads/c4260e09/2020-2021/Cagliari-Stats
