,,,# Pl,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
league,season,team,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2021,Reims,29,38.0,39,358,122,34.1,9.42,3.21,0.09,0.28,19.4,15,5,5,32.7,28.9,0.08,6.3,5.1,/en/squads/7fdd64e0/2020-2021/Reims-Stats
FRA-Ligue 1,2021,Rennes,32,38.0,50,510,159,31.2,13.42,4.18,0.09,0.3,18.3,32,3,3,47.8,45.4,0.09,2.2,1.6,/en/squads/b3072e00/2020-2021/Rennes-Stats
FRA-Ligue 1,2021,Saint-Étienne,40,38.0,40,432,140,32.4,11.37,3.68,0.08,0.24,18.2,17,6,9,48.7,41.8,0.1,-8.7,-7.8,/en/squads/d298ef2c/2020-2021/Saint-Etienne-Stats
FRA-Ligue 1,2021,Strasbourg,26,38.0,49,419,129,30.8,11.03,3.39,0.09,0.3,18.7,17,10,12,52.8,43.4,0.11,-3.8,-4.4,/en/squads/c0d3eab4/2020-2021/Strasbourg-Stats
GER-Bundesliga,2021,Arminia,26,34.0,23,331,100,30.2,9.74,2.94,0.07,0.22,18.5,14,1,2,32.9,31.3,0.1,-9.9,-9.3,/en/squads/247c4b67/2020-2021/Arminia-Stats
GER-Bundesliga,2021,Augsburg,25,34.0,35,332,108,32.5,9.76,3.18,0.1,0.31,18.1,10,2,5,37.3,33.4,0.1,-2.3,-0.4,/en/squads/0cdc4311/2020-2021/Augsburg-Stats
GER-Bundesliga,2021,Bayern Munich,29,34.0,98,572,219,38.3,16.82,6.44,0.16,0.41,16.9,9,9,10,75.9,68.1,0.12,22.1,20.9,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
GER-Bundesliga,2021,Dortmund,26,34.0,74,488,184,37.7,14.35,5.41,0.15,0.39,16.7,14,3,7,66.2,60.4,0.12,7.8,10.6,/en/squads/add600ae/2020-2021/Dortmund-Stats
GER-Bundesliga,2021,Eint Frankfurt,25,34.0,63,442,162,36.7,13.0,4.76,0.12,0.34,16.3,12,8,8,58.5,52.2,0.12,4.5,2.8,/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats
GER-Bundesliga,2021,Freiburg,24,34.0,51,383,140,36.6,11.26,4.12,0.12,0.32,17.3,17,6,6,45.5,40.9,0.11,5.5,4.1,/en/squads/a486e511/2020-2021/Freiburg-Stats
GER-Bundesliga,2021,Hertha BSC,32,34.0,40,377,142,37.7,11.09,4.18,0.1,0.25,18.4,12,4,6,41.9,37.2,0.1,-1.9,-1.2,/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats
GER-Bundesliga,2021,Hoffenheim,30,34.0,51,424,149,35.1,12.47,4.38,0.11,0.31,17.5,20,5,6,51.9,47.3,0.11,-0.9,-1.3,/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats
GER-Bundesliga,2021,Köln,28,34.0,33,354,103,29.1,10.41,3.03,0.08,0.28,17.2,9,4,6,40.5,35.9,0.1,-7.5,-6.9,/en/squads/bc357bf7/2020-2021/Koln-Stats
GER-Bundesliga,2021,Leverkusen,30,34.0,52,440,164,37.3,12.94,4.82,0.11,0.3,17.9,12,3,3,46.3,44.0,0.1,5.7,5.0,/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats
GER-Bundesliga,2021,M'Gladbach,23,34.0,63,443,165,37.2,13.03,4.85,0.12,0.32,17.4,12,10,11,54.9,46.5,0.11,8.1,6.5,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
GER-Bundesliga,2021,Mainz 05,31,34.0,39,374,134,35.8,11.0,3.94,0.09,0.25,17.4,10,5,5,49.9,46.0,0.13,-10.9,-12.0,/en/squads/a224b06a/2020-2021/Mainz-05-Stats
GER-Bundesliga,2021,RB Leipzig,25,34.0,59,533,189,35.5,15.68,5.56,0.1,0.27,17.4,19,8,10,64.4,56.7,0.11,-5.4,-5.7,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
GER-Bundesliga,2021,Schalke 04,42,34.0,24,301,81,26.9,8.85,2.38,0.08,0.3,18.4,11,0,3,28.7,26.3,0.09,-4.7,-2.3,/en/squads/c539e393/2020-2021/Schalke-04-Stats
